Results,EUR/USD Close,EUR/USD High,EUR/USD Low,USD/JPY Close,USD/JPY High,USD/JPY Low,USD/CHF Close,USD/CHF High,USD/CHF Low,GBP/USD Close,GBP/USD High,GBP/USD Low,USD/CAD Close,USD/CAD High,USD/CAD Low,EUR/GBP Close,EUR/GBP High,EUR/GBP Low,EUR/JPY Close,EUR/JPY High,EUR/JPY Low,EUR/CHF Close,EUR/CHF High,EUR/CHF Low,AUD/USD Close,AUD/USD High,AUD/USD Low,GBP/JPY Close,GBP/JPY High,GBP/JPY Low,CHF/JPY Close,CHF/JPY High,CHF/JPY Low,GBP/CHF Close,GBP/CHF High,GBP/CHF Low,NZD/USD Close,NZD/USD High,NZD/USD Low
Average,  1.101,  1.106,  1.097,108.933,109.400,108.341,  0.968,  0.972,  0.964,  1.274,  1.283,  1.268,  1.351,  1.356,  1.345,  0.864,  0.869,  0.860,119.873,120.448,119.305,  1.066,  1.069,  1.064,  0.653,  0.658,  0.649,138.809,139.755,137.976,112.449,112.935,111.968,  1.234,  1.241,  1.228,  0.630,  0.635,  0.627
Minimum,   1.064,   1.081,   1.064, 102.220, 104.590, 101.210,   0.924,   0.934,   0.919,   1.151,   1.171,   1.141,   1.296,   1.299,   1.295,   0.831,   0.834,   0.828, 116.780, 117.380, 115.950,   1.053,   1.056,   1.051,   0.577,   0.584,   0.551, 125.100, 129.530, 124.190, 110.530, 111.210, 109.280,   1.123,   1.152,   1.112,   0.570,   0.574,   0.547
Maximum,   1.145,   1.149,   1.134, 112.050, 112.220, 111.490,   0.989,   0.990,   0.983,   1.320,   1.327,   1.311,   1.454,   1.467,   1.442,   0.938,   0.950,   0.915, 122.620, 122.870, 122.500,   1.086,   1.088,   1.084,   0.698,   0.702,   0.698, 144.850, 144.970, 143.730, 114.150, 114.380, 113.930,   1.279,   1.284,   1.276,   0.669,   0.674,   0.669
Std,   0.016,   0.016,   0.016,   1.745,   1.510,   1.997,   0.012,   0.011,   0.014,   0.044,   0.039,   0.048,   0.047,   0.051,   0.042,   0.027,   0.030,   0.024,   1.440,   1.245,   1.619,   0.009,   0.008,   0.009,   0.034,   0.031,   0.037,   5.161,   4.688,   5.575,   0.835,   0.737,   0.912,   0.043,   0.040,   0.047,   0.028,   0.026,   0.031
# In Calc, 71, 71, 71, 71, 71, 71, 71, 71, 71, 71, 71, 71, 71, 71, 71, 71, 71, 71, 71, 71, 71, 71, 71, 71, 71, 71, 71, 71, 71, 71, 71, 71, 71, 71, 71, 71, 71, 71, 71

Date,EUR/USD Close,EUR/USD High,EUR/USD Low,USD/JPY Close,USD/JPY High,USD/JPY Low,USD/CHF Close,USD/CHF High,USD/CHF Low,GBP/USD Close,GBP/USD High,GBP/USD Low,USD/CAD Close,USD/CAD High,USD/CAD Low,EUR/GBP Close,EUR/GBP High,EUR/GBP Low,EUR/JPY Close,EUR/JPY High,EUR/JPY Low,EUR/CHF Close,EUR/CHF High,EUR/CHF Low,AUD/USD Close,AUD/USD High,AUD/USD Low,GBP/JPY Close,GBP/JPY High,GBP/JPY Low,CHF/JPY Close,CHF/JPY High,CHF/JPY Low,GBP/CHF Close,GBP/CHF High,GBP/CHF Low,NZD/USD Close,NZD/USD High,NZD/USD Low
2020-01-02,1.1165,1.1225,1.1164,108.54,108.87,108.22,0.9725,0.9733,0.9669,1.313,1.3266,1.3115,1.2985,1.3009,1.2969,0.85,0.8515,0.8459,121.18,122.02,120.99,1.0857,1.0879,1.0838,0.698,0.702,0.6979,142.53,144.19,142.28,111.59,112.4,111.51,1.277,1.2844,1.2749,0.6691,0.6739,0.6685
2020-01-03,1.1165,1.1181,1.1125,108.02,108.64,107.83,0.9719,0.9745,0.9688,1.3076,1.3161,1.3055,1.2994,1.3005,1.2959,0.8537,0.8544,0.8459,120.58,121.38,120.16,1.0849,1.0865,1.0825,0.6956,0.6999,0.693,141.27,142.8,141.01,111.13,111.83,110.91,1.2709,1.2781,1.2685,0.6668,0.6706,0.6644
2020-01-06,1.119,1.1206,1.1156,108.43,108.51,107.77,0.9686,0.9719,0.9677,1.3161,1.3175,1.3065,1.2961,1.2991,1.2958,0.8502,0.8546,0.8492,121.34,121.41,120.28,1.0841,1.0862,1.0828,0.6935,0.6959,0.6925,142.72,142.8,140.85,111.92,111.99,110.95,1.2748,1.2765,1.2687,0.6666,0.6681,0.6645
